Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Monkey Off My Back","(s) Monkey Face > Smith Rock > Central Oregon > Oregon",https://www.mountainproject.com/route/106811013/monkey-off-my-back,3.7,-1,Sport,5.8+,1,,44.37053,-121.14363
"Under the Milky Way","The Long Wall > Summersville Lake (main) > Summersville Area > The New River Gorge > West Virginia",https://www.mountainproject.com/route/105918478/under-the-milky-way,3.9,-1,Sport,5.11d,1,70,38.24137,-80.84379
"Los Hermanos de la Weenie Way","Penitente - Inner Canyon > Penitente Canyon > San Luis Valley > Colorado",https://www.mountainproject.com/route/105753916/los-hermanos-de-la-weenie-way,3.9,-1,Sport,5.11c,1,,37.84519,-106.28863
Freeform,"Free Form Wall > Sand Gulch > Shelf Road > Canon City > Colorado",https://www.mountainproject.com/route/105752917/freeform,3.9,-1,Sport,5.12a,1,,38.6218,-105.23101
"Ginseng Route","Shagg Crag > Maine",https://www.mountainproject.com/route/106075920/ginseng-route,3.9,-1,Sport,5.12b,1,,44.4237,-70.5309
Anarchitect,"Anarchy Wall > Clear Creek Canyon > Golden > Colorado",https://www.mountainproject.com/route/105750721/anarchitect,3.9,-1,Sport,5.12d,1,,39.7407,-105.32832
Aesthetica,"M) Fantasy Area > Endless Wall > New River Gorge Proper > The New River Gorge > West Virginia",https://www.mountainproject.com/route/106259865/aesthetica,3.9,-1,Sport,5.11c,1,80,38.05596,-81.05393
"Crack Attack","Rad Wall > El Rito Sport Area > El Rito > New Mexico",https://www.mountainproject.com/route/105819879/crack-attack,3.9,-1,Sport,5.12a,1,65,36.39259,-106.19534
Squawstruck,"Squaw Peak > Rock Canyon > Wasatch Range > Utah",https://www.mountainproject.com/route/106897735/squawstruck,3.4,-1,Sport,5.11b,22,1900,40.27201,-111.61624
Munsterlander,"Hound Dog Crag > Ten Sleep Canyon > Wyoming",https://www.mountainproject.com/route/107216187/munsterlander,3.9,-1,Sport,5.11c,1,85,44.10033,-107.28463
"El Sendero Diablo (The Devil's Path)","The Outrage Wall > El Potrero Chico > Nuevo Leon > Northern Mexico > Mexico > North America > International",https://www.mountainproject.com/route/106175808/el-sendero-diablo-the-devils-path,3.8,-1,Sport,5.11c,6,600,25.94802,-100.47771
Disturbance,"4) Genocide Cave > Beauty Mountain > New River Gorge Proper > The New River Gorge > West Virginia",https://www.mountainproject.com/route/106420023/disturbance,3.9,-1,Sport,5.11d,1,70,38.05372,-81.03333
"Redneck Hero","River Wall II > Longmont Reservoir Area (aka Buttonrock) > North Fork of the St. Vrain River > St. Vrain Canyons > Lyons > Colorado",https://www.mountainproject.com/route/105753994/redneck-hero,3.8,-1,Sport,5.12a,1,70,40.229,-105.34538
"Pure Palm","(2) Wildfire Wall > West Side > (z) Lower Gorge > Smith Rock > Central Oregon > Oregon",https://www.mountainproject.com/route/105803570/pure-palm,3.8,-1,Sport,5.11a,1,80,44.36798,-121.13081
"The Return of Chris Snyder","Graining Fork Nature Preserve (a.k.a. Roadside Crag) > Red River Gorge > Kentucky",https://www.mountainproject.com/route/106020821/the-return-of-chris-snyder,3.9,-1,Sport,5.11d,1,100,37.7334,-83.6591
"Moons of Pluto","(q) Mesa Verde Wall > Smith Rock > Central Oregon > Oregon",https://www.mountainproject.com/route/105803003/moons-of-pluto,3.8,-1,Sport,5.10d,1,95,44.36866,-121.14442
"Last of the Mohicans","Indian Wars Wall > The Mohican > Spearfish Canyon > South Dakota",https://www.mountainproject.com/route/105905537/last-of-the-mohicans,3.9,-1,Sport,5.12a,1,45,44.33171,-103.9001
"The Shaft","Dinosaur Rock > Central > Flatirons > Boulder > Colorado",https://www.mountainproject.com/route/106207686/the-shaft,3.8,-1,"Sport, TR",5.12b,1,90,39.9734,-105.2875
Genesis,"The Sanctuary > Rifle Mountain Park > Rifle > Colorado",https://www.mountainproject.com/route/106882881/genesis,3.8,-1,Sport,5.12a,1,80,39.70784,-107.69329
"Satisfaction Guaranteed","The Satisfaction Wall > Summersville Lake (main) > Summersville Area > The New River Gorge > West Virginia",https://www.mountainproject.com/route/105918469/satisfaction-guaranteed,3.8,-1,Sport,5.11-,1,65,38.24161,-80.8422
O.R.G.asam,"Dihedrals > Upper Gorge > Owens River Gorge > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/105880789/orgasam,3.8,-1,Sport,5.11a,1,90,37.52838,-118.57396
"Scenic Adult","Seven Eleven Wall > Kaymoor > New River Gorge Proper > The New River Gorge > West Virginia",https://www.mountainproject.com/route/106461197/scenic-adult,3.8,-1,Sport,5.11c,1,95,38.05239,-81.07272
"Whip Tide","Waimea > *Rumney > New Hampshire",https://www.mountainproject.com/route/105868994/whip-tide,3.8,-1,Sport,5.12b,1,75,43.80386,-71.84091
Humanality,"Ladder Routes (Humanality Area) > Tonsai Beach (Freedom Bar Area) > Tonsai Bay > Laem Phra Nang (Railay & Tonsai) > South - Islands & Beaches > Thailand > Asia > International",https://www.mountainproject.com/route/105895220/humanality,3.8,-1,Sport,5.10c/d,5,300,8.0171,98.8341
"She's the Bosch","Window Rock - West > Window Rock > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/105799303/shes-the-bosch,3.8,-1,Sport,5.11c,1,120,42.08533,-113.72273
"Wind and Rattlesnakes","F. Rode Hard Wall > The Main Wall > Wild Iris > Lander Area > Wyoming",https://www.mountainproject.com/route/105863211/wind-and-rattlesnakes,3.8,-1,Sport,5.12a,1,65,42.5845,-108.73338
Grindrite,"Gotham City > Upper Gorge > Owens River Gorge > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/105911420/grindrite,3.8,-1,Sport,5.11b,1,100,37.52751,-118.57443
"Not My Cross To Bear","Penitente - Inner Canyon > Penitente Canyon > San Luis Valley > Colorado",https://www.mountainproject.com/route/105753910/not-my-cross-to-bear,3.8,-1,Sport,5.11a/b,1,,37.84519,-106.28863
"Crest Jewel (and Crest Jewel Direct)","North Dome > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/105862890/crest-jewel-and-crest-jewel-direct,3.8,-1,"Trad, Sport","5.10 R",15,,37.75785,-119.56213
"Easy Skankin'","Anti-Phil Wall > Rifle Mountain Park > Rifle > Colorado",https://www.mountainproject.com/route/105753376/easy-skankin,3.8,-1,Sport,5.12b,1,,39.71897,-107.69163
"Heinous Cling","(k) The Dihedrals > Smith Rock > Central Oregon > Oregon",https://www.mountainproject.com/route/105789081/heinous-cling,3.8,-1,Sport,5.12c,1,100,44.3665,-121.14564
"Plan B","Upper Security Risk > Security Risk Massif > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105749575/plan-b,3.8,-1,Sport,5.12b,1,95,40.0048,-105.3931
Ricochet,"The Winchester Cave > Rifle Mountain Park > Rifle > Colorado",https://www.mountainproject.com/route/105753373/ricochet,3.8,-1,Sport,5.12a,1,85,39.71774,-107.69191
"Breakfast Burrito","Drive-By Crag > Pendergrass-Murray Recreational Preserve (PMRP) > Red River Gorge > Kentucky",https://www.mountainproject.com/route/106081922/breakfast-burrito,3.7,-1,Sport,5.10c,1,80,37.65292,-83.72495
"Wild at Heart","I. Railroad Rock > A. North Canyon > *Jackson Falls > Illinois",https://www.mountainproject.com/route/106447069/wild-at-heart,3.8,-1,Sport,5.10d,1,,37.50881,-88.69216
"The Winsloner","West Side > Winslow Wall > East Clear Creek > Winslow- Hwy’s 87 & 99 Corridors > Northern Arizona > Arizona",https://www.mountainproject.com/route/106180004/the-winsloner,3.8,-1,Sport,5.11c,1,100,34.94209,-110.6632
Abiyoyo,"The Solarium > Muir Valley > Red River Gorge > Kentucky",https://www.mountainproject.com/route/106978712/abiyoyo,3.8,-1,Sport,5.12b,1,95,37.73372,-83.63884
"Vomit Launch","(f) Cocaine Gully > Smith Rock > Central Oregon > Oregon",https://www.mountainproject.com/route/105789348/vomit-launch,3.8,-1,Sport,5.11b,1,,44.36719,-121.14307
Dreamscape,"Sun Wall > Sand Rock > Alabama",https://www.mountainproject.com/route/105979968/dreamscape,3.8,-1,Sport,5.11c,1,75,34.18041,-85.81555
"EKV: Exo-atmospheric Kill Vehicle","Slavery Wall > Mondo Beyondo > Ten Sleep Canyon > Wyoming",https://www.mountainproject.com/route/105956405/ekv-exo-atmospheric-kill-vehicle,3.8,-1,Sport,5.12c,1,85,44.13247,-107.25718
"No Place Like Home","Emerald City > Red River Gorge > Kentucky",https://www.mountainproject.com/route/105870227/no-place-like-home,3.8,-1,Sport,5.11c,1,100,37.75195,-83.66364
"1/2 Route","Namaste Wall > South Fork of Taylor > Kolob Canyon > Zion National Park > Utah",https://www.mountainproject.com/route/105717895/12-route,3.7,-1,Sport,5.10+,1,80,37.45133,-113.16338
"Wicked Gravity","Outhouse Wall > The Back of The Lake > Lake Louise > Banff National Park > Alberta > Canada > North America > International",https://www.mountainproject.com/route/108226533/wicked-gravity,3.8,-1,Sport,5.11a,1,88,51.4076,-116.2405
"Choke Cherry Eyes","Cowboy King Wall > Aspen Glade > Wild Iris > Lander Area > Wyoming",https://www.mountainproject.com/route/106811748/choke-cherry-eyes,3.8,-1,Sport,5.12a,1,70,42.5928,-108.7408
Dogleg,"Bob Marley > Pendergrass-Murray Recreational Preserve (PMRP) > Red River Gorge > Kentucky",https://www.mountainproject.com/route/106290553/dogleg,3.8,-1,Sport,5.12a,1,90,37.65194,-83.72328
"Unimpeachable Groping","Ginger Buttress > 11-Juniper Canyon > Red Rock > Southern Nevada > Nevada",https://www.mountainproject.com/route/105732431/unimpeachable-groping,3.4,-1,Sport,5.10b,7,760,36.11213,-115.48829
"Pioneer Route","(s) Monkey Face > Smith Rock > Central Oregon > Oregon",https://www.mountainproject.com/route/105791058/pioneer-route,3.5,-1,"Trad, Sport, Aid","5.7 C0",3,250,44.37053,-121.14363
"Check Your Grip","Drive-By Crag > Pendergrass-Murray Recreational Preserve (PMRP) > Red River Gorge > Kentucky",https://www.mountainproject.com/route/106081909/check-your-grip,3.8,-1,Sport,5.12a,1,80,37.65292,-83.72495
"Animal Magnetism","Upper Animal World > Animal World > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105753505/animal-magnetism,3.8,-1,Sport,5.11c,1,110,39.99846,-105.41397
"Coffindaffer's Dream","4. Third Buttress > Upper Meadow > Meadow River Gorge > The New River Gorge > West Virginia",https://www.mountainproject.com/route/108768795/coffindaffers-dream,3.8,-1,Sport,5.11-,1,90,38.14336,-80.91556
"Big Bad Wolf","Riding Hood Wall > 01-Calico Basin > Red Rock > Southern Nevada > Nevada",https://www.mountainproject.com/route/107339211/big-bad-wolf,3.0,-1,Sport,5.9,3,220,36.14947,-115.42673
"Tits Up","Cactus Cliff > Shelf Road > Canon City > Colorado",https://www.mountainproject.com/route/105752335/tits-up,3.8,-1,Sport,5.12b,1,80,38.63213,-105.22238
"From Chocolate to Morphine","Faulty Tower > Central Gorge > Owens River Gorge > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/105880524/from-chocolate-to-morphine,3.8,-1,Sport,5.11d,1,110,37.51367,-118.57129
"Star Chek","Galaxy Buttress > The Gorge > Sea to Sky (Squamish to Whistler) > British Columbia > Canada > North America > International",https://www.mountainproject.com/route/107104796/star-chek,3.4,-1,Sport,5.8+,3,400,49.924,-123.1675
"Ro Shampo","Graining Fork Nature Preserve (a.k.a. Roadside Crag) > Red River Gorge > Kentucky",https://www.mountainproject.com/route/105860759/ro-shampo,3.7,-1,Sport,5.12a,1,60,37.7334,-83.6591
Khaleesi,"The Grail > Lime Kiln Canyon > The Arizona Strip > Northern Arizona > Arizona",https://www.mountainproject.com/route/112259660/khaleesi,3.8,-1,Sport,5.11c,1,115,36.65703,-114.00822
"Freaky Stylee","B) Party Buttress > Endless Wall > New River Gorge Proper > The New River Gorge > West Virginia",https://www.mountainproject.com/route/106293356/freaky-stylee,3.8,-1,Sport,5.12a,1,70,38.05569,-81.06276
"A Brief History of Climb","The Gallery > Pendergrass-Murray Recreational Preserve (PMRP) > Red River Gorge > Kentucky",https://www.mountainproject.com/route/106125070/a-brief-history-of-climb,3.7,-1,Sport,5.10b,1,75,37.65292,-83.71772
"Super Best Friends","The Solarium > Muir Valley > Red River Gorge > Kentucky",https://www.mountainproject.com/route/106852348/super-best-friends,3.8,-1,Sport,5.12b,1,95,37.73372,-83.63884
"Center El Shinto","Sector Shinto > French Cattle Ranch > Ten Sleep Canyon > Wyoming",https://www.mountainproject.com/route/105856684/center-el-shinto,3.8,-1,Sport,5.12b,1,70,44.14653,-107.25807
"Lucid Dreaming","Middle > Plotinus Wall > Lower Dream Canyon > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105755821/lucid-dreaming,3.7,-1,Sport,5.12c/d,1,,40.00677,-105.40642
Zorro,"Zorro Area > Wild Iris > Lander Area > Wyoming",https://www.mountainproject.com/route/105841220/zorro,3.8,-1,Sport,5.11c,1,75,42.5797,-108.7168
Masuko,"Whippoorwill > Summersville Area > The New River Gorge > West Virginia",https://www.mountainproject.com/route/106736128/masuko,3.8,-1,Sport,5.11a,1,70,38.2338,-80.8552
"King Me","Eastern Sky Bridge Ridge > Red River Gorge > Kentucky",https://www.mountainproject.com/route/105964688/king-me,3.8,-1,Sport,5.11b,1,90,37.81596,-83.58104
Liposuction,"Sex Cave > Reimers Ranch > Austin Area > Texas",https://www.mountainproject.com/route/105865349/liposuction,3.7,-1,Sport,5.12a,1,40,30.3631,-98.1237
"The Peacemaker","The Sheepshead > Sheepshead Area (Southwest) > West Stronghold > Cochise Stronghold > Southern Arizona > Arizona",https://www.mountainproject.com/route/106080329/the-peacemaker,3.5,-1,Sport,5.10a,7,,31.87031,-109.99388
"Pick Pocket","Holy Trinity > Upper Gorge > Owens River Gorge > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/105843696/pick-pocket,3.8,-1,Sport,5.11a,1,60,37.52349,-118.57518
Waimea,"Waimea > *Rumney > New Hampshire",https://www.mountainproject.com/route/105867858/waimea,3.6,-1,Sport,5.10d,1,50,43.80386,-71.84091
"The Gym Arete","The Gym > Shelf Road > Canon City > Colorado",https://www.mountainproject.com/route/105750031/the-gym-arete,3.8,-1,Sport,5.12a,1,,38.6329,-105.2165
"License To Thrill","The Membrane > American Fork Canyon > Wasatch Range > Utah",https://www.mountainproject.com/route/105739946/license-to-thrill,3.7,-1,Sport,5.11c,1,80,40.44666,-111.68668
"The Opportunist","Tan Corridor > Meadow Dome > Staunton Rocks > Staunton State Park > South Platte > Colorado",https://www.mountainproject.com/route/108151365/the-opportunist,3.7,-1,Sport,5.11a,1,80,39.5167,-105.3958
"AC Devil Dog","The Grotto > Table Mountain > Sonora Pass Highway (108) > California",https://www.mountainproject.com/route/105734903/ac-devil-dog,3.7,-1,Sport,5.10d,1,50,37.926,-120.4635
"Huecos Rancheros","Namaste Wall > South Fork of Taylor > Kolob Canyon > Zion National Park > Utah",https://www.mountainproject.com/route/105718117/huecos-rancheros,3.9,-1,Sport,5.12b/c,1,150,37.45133,-113.16338
Tailspin,"Old Aid Wall aka Upper Echelon Wall > Triple Tier Area > Poudre Canyon > Fort Collins > Colorado",https://www.mountainproject.com/route/106737083/tailspin,3.9,-1,Sport,5.12b,1,70,40.6924,-105.3755
"Holy War","Wall of Useless Conflict > Foster Falls > Tennessee",https://www.mountainproject.com/route/108668668/holy-war,3.7,-1,Sport,5.9,1,95,35.19166,-85.69914
"The Crusher","Orange Crush > *Rumney > New Hampshire",https://www.mountainproject.com/route/106200868/the-crusher,3.7,-1,Sport,5.11d,1,80,43.80293,-71.83513
"Heavy Weather","The Bank > Shelf Road > Canon City > Colorado",https://www.mountainproject.com/route/105750028/heavy-weather,3.8,-1,Sport,5.12a/b,1,,38.6331,-105.2297
Toxic,"(d) Aggro Gully > Smith Rock > Central Oregon > Oregon",https://www.mountainproject.com/route/105789298/toxic,3.7,-1,Sport,5.11b,1,50,44.36724,-121.14238
"Horseshoes and Hand Grenades","The Far East > Horseshoe Canyon Ranch > Arkansas",https://www.mountainproject.com/route/106026838/horseshoes-and-hand-grenades,3.7,-1,Sport,5.11a,1,60,36.00394,-93.28377
Psychatomic,"The Vestibule > The Monastery > Big Thompson Canyon > Estes Park Valley > Colorado",https://www.mountainproject.com/route/105756049/psychatomic,4.0,-1,Sport,5.12d,1,,40.45334,-105.36914
"Monkey Space","(s) Monkey Face > Smith Rock > Central Oregon > Oregon",https://www.mountainproject.com/route/105791523/monkey-space,3.6,-1,Sport,5.11b,2,100,44.37053,-121.14363
Teeanova,"Hard Rock > American Fork Canyon > Wasatch Range > Utah",https://www.mountainproject.com/route/106194324/teeanova,3.7,-1,Sport,5.12a,1,70,40.4507,-111.6717
Whip-Stocking,"Drive-By Crag > Pendergrass-Murray Recreational Preserve (PMRP) > Red River Gorge > Kentucky",https://www.mountainproject.com/route/106081917/whip-stocking,3.7,-1,Sport,5.11a,1,80,37.65292,-83.72495
"Royal Flush","Mount Royal (near Frisco) > 10 Mile Canyon > Colorado",https://www.mountainproject.com/route/106811713/royal-flush,3.0,-1,Sport,5.9,8,1500,39.5723,-106.111
"Unusual Weather","The Bank > Shelf Road > Canon City > Colorado",https://www.mountainproject.com/route/105753076/unusual-weather,3.8,-1,Sport,5.11c,1,,38.6331,-105.2297
Snozzberries,"Chocolate Factory > Bald Rock Recreational Preserve (BRRP) > Red River Gorge > Kentucky",https://www.mountainproject.com/route/108411358/snozzberries,3.7,-1,Sport,5.11d,1,80,37.64919,-83.71343
"Sonic Youth","Sonic Youth Cliff > 05-Sandstone Quarry > Red Rock > Southern Nevada > Nevada",https://www.mountainproject.com/route/105884624/sonic-youth,3.7,-1,Sport,5.11d,1,60,36.16602,-115.45317
"Circus in the Wind","Circus Wall > Ten Sleep Canyon > Wyoming",https://www.mountainproject.com/route/105856757/circus-in-the-wind,3.7,-1,Sport,5.11-,1,70,44.10072,-107.28884
Dreamin',"Christian Brothers - East Side > (l) Christian Brothers > Smith Rock > Central Oregon > Oregon",https://www.mountainproject.com/route/105792268/dreamin,3.9,-1,Sport,5.12a,1,90,44.36598,-121.14688
"The Gift","The Gallery > 04-Second Pullout (Calico II) > Red Rock > Southern Nevada > Nevada",https://www.mountainproject.com/route/105732371/the-gift,3.7,-1,Sport,5.12d,1,70,36.15672,-115.43841
"Pumping Huecos","The Sponge > Las Conchas > Jemez Mountains and Jemez Valley > New Mexico",https://www.mountainproject.com/route/105865288/pumping-huecos,3.7,-1,Sport,5.10d,1,50,35.82164,-106.53818
Andrology,"The Fin > Jurassic Park - Lily Lake > CO Hwy 7 & Tributaries > Estes Park Valley > Colorado",https://www.mountainproject.com/route/105756496/andrology,3.7,-1,Sport,5.12a,1,,40.3127,-105.5411
"Tribal War","2. Tribal War > 1. Left Side (Lunarscape, Tribal War, Poker-Face, Lone Pilgrim) > OK Corral > Wild Iris > Lander Area > Wyoming",https://www.mountainproject.com/route/105841251/tribal-war,3.7,-1,Sport,5.11b,1,70,42.57488,-108.71721
"Cookie Monster","The Cookie Cliff > h. Cookie Area > Lower Merced River Canyon > Yosemite National Park > California",https://www.mountainproject.com/route/105992940/cookie-monster,3.7,-1,Sport,5.12a,1,,37.71772,-119.71881
"Happiness in Slavery","Slavery Wall > Mondo Beyondo > Ten Sleep Canyon > Wyoming",https://www.mountainproject.com/route/105827047/happiness-in-slavery,3.7,-1,Sport,5.12b,1,80,44.13247,-107.25718
"Climb of the Ancient Mariner","The Bookend > Lumpy Ridge > Estes Park Valley > Colorado",https://www.mountainproject.com/route/105748966/climb-of-the-ancient-mariner,3.7,-1,"Trad, Sport",5.10a,3,,40.40681,-105.5372
"Banana Dance","Turtle Wall > Saint George > Utah",https://www.mountainproject.com/route/106375869/banana-dance,3.7,-1,Sport,5.11d,1,40,37.1498,-113.61205
"Tribal Boundaries","Flaming Rock > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/105741602/tribal-boundaries,3.6,-1,"Sport, TR",5.10a/b,1,60,42.07673,-113.7137
49,"The Minimum Crag > Right Fork > Maple Canyon > Utah",https://www.mountainproject.com/route/106001020/49,3.7,-1,Sport,5.12a,1,80,39.5622,-111.6906
"Space Boyz","La Selva (Jungle Wall) > El Potrero Chico > Nuevo Leon > Northern Mexico > Mexico > North America > International",https://www.mountainproject.com/route/106183204/space-boyz,3.6,-1,Sport,5.10d,11,1000,25.94838,-100.47698
Gravitations,"Cactus Cliff > Shelf Road > Canon City > Colorado",https://www.mountainproject.com/route/105752389/gravitations,3.7,-1,Sport,5.11d,1,70,38.63213,-105.22238
"Mr Choad's Wild Ride","Sunny and Steep > Kraft Mountain Area > 01-Calico Basin > Red Rock > Southern Nevada > Nevada",https://www.mountainproject.com/route/106375205/mr-choads-wild-ride,3.6,-1,Sport,5.11b,1,105,36.16986,-115.42321
"Tabula Rasa","The Vestibule > The Monastery > Big Thompson Canyon > Estes Park Valley > Colorado",https://www.mountainproject.com/route/105756052/tabula-rasa,3.6,-1,Sport,5.10d,1,,40.45334,-105.36914
"The Great Escape","Wall of Justice > Clear Creek Canyon > Golden > Colorado",https://www.mountainproject.com/route/105748433/the-great-escape,3.7,-1,Sport,5.12,1,,39.7374,-105.3202
"Shaken Not Stirred","Martini Sector > The Discovery Wall > The Fins > Central Idaho > Idaho",https://www.mountainproject.com/route/108220733/shaken-not-stirred,3.7,-1,Sport,5.12a,1,70,43.72721,-113.08171
